data,letter,category_id
avganistan,A,0
azerbejdžan,A,0
albanija,A,0
alžir,A,0
angola,A,0
andora,A,0
antigva i barbuda,A,0
argentina,A,0
australija,A,0
austrija,A,0
bangladeš,B,0
barbados,B,0
bahame,B,0
bahrein,B,0
belgija,B,0
belize,B,0
belorusija,B,0
benin,B,0
bolivija,B,0
bosna i hercegovina,B,0
bocvana,B,0
brazil,B,0
brunej,B,0
bugarska,B,0
burkina faso,B,0
burundi,B,0
butan,B,0
vanuatu,V,0
venecuela,V,0
vijetnam,V,0
gabon,G,0
gambija,G,0
gana,G,0
gvajana,G,0
gvatemala,G,0
gvineja,G,0
gvineja bisao,G,0
grenada,G,0
gruzija,G,0
grčka,G,0
danska,D,0
dominika,D,0
dominikanska republika,D,0
egipat,E,0
ekvador,E,0
ekvatorijalna gvineja,E,0
eritreja,E,0
estonija,E,0
etiopija,E,0
zambija,Z,0
zelenortska ostrva,Z,0
zimbabve,Z,0
izrael,I,0
indija,I,0
indonezija,I,0
irak,I,0
iran,I,0
irska,I,0
island,I,0
istočni timor,I,0
italija,I,0
jamajka,J,0
japan,J,0
jemen,J,0
jermenija,J,0
jordan,J,0
južna koreja,J,0
južni sudan,J,0
južnoafrička republika,J,0
kazahstan,K,0
kambodža,K,0
kamerun,K,0
kanada,K,0
katar,K,0
kenija,K,0
kina,K,0
kipar,K,0
kirgistan,K,0
kiribati,K,0
kolumbija,K,0
demokratska republika kongo,D,0
republika kongo,R,0
komori,K,0
kostarika,K,0
kuba,K,0
kuvajt,K,0
laos,L,0
lesoto,L,0
letonija,L,0
liban,L,0
liberija,L,0
libija,L,0
litvanija,L,0
lihtenštajn,L,0
luksemburg,L,0
madagaskar,M,0
mađarska,M,0
severna makedonija,S,0
malavi,M,0
maldivi,M,0
malezija,M,0
mali,M,0
malta,M,0
maroko,M,0
maršalska ostrva,M,0
mauritanija,M,0
mauricijus,M,0
meksiko,M,0
mjanmar,M,0
mozambik,M,0
moldavija,M,0
monako,M,0
mongolija,M,0
namibija,N,0
nauru,N,0
nemačka,N,0
nepal,N,0
niger,N,0
nigerija,N,0
nikaragva,N,0
novi zeland,N,0
norveška,N,0
obala slonovače,O,0
oman,O,0
pakistan,P,0
palau,P,0
panama,P,0
papua nova gvineja,P,0
paragvaj,P,0
peru,P,0
poljska,P,0
portugalija,P,0
ruanda,R,0
rumunija,R,0
rusija,R,0
salvador,S,0
samoa,S,0
san marino,S,0
sao tome i prinsipe,S,0
saudijska arabija,S,0
esvatini,E,0
sveta lucija,S,0
sent vinsent i grenadini,S,0
sent kits i nevis,S,0
severna koreja,S,0
sejšeli,S,0
senegal,S,0
sijera leone,S,0
singapur,S,0
sirija,S,0
sjedinjene američke države,S,0
slovačka,S,0
slovenija,S,0
solomonova ostrva,S,0
somalija,S,0
srbija,S,0
sudan,S,0
surinam,S,0
tajland,T,0
tanzanija,T,0
tadžikistan,T,0
togo,T,0
tonga,T,0
trinidad i tobago,T,0
tuvalu,T,0
tunis,T,0
turkmenistan,T,0
turska,T,0
uganda,U,0
uzbekistan,U,0
ujedinjeni arapski emirati,U,0
ujedinjeno kraljevstvo,U,0
ukrajina,U,0
urugvaj,U,0
filipini,F,0
finska,F,0
fidži,F,0
francuska,F,0
haiti,H,0
holandija,H,0
honduras,H,0
hrvatska,H,0
centralnoafrička republika,C,0
crna gora,C,0
čad,Č,0
češka,Č,0
čile,Č,0
džibuti,D,0
švajcarska,Š,0
švedska,Š,0
španija,Š,0
šri lanka,Š,0
vatikan,V,0
palestina,P,0
država palestina,D,0
abhazija,A,0
azavad,A,0
azad kašmir,A,0
zapadna sahara,Z,0
južna osetija,J,0
kukova ostrva,K,0
republika arcah,R,0
nijue,N,0
pridnjestrovlje,P,0
republika kina,R,0
turska republika severni kipar,T,0
somalilend,S,0
antarktik,A,0
ostrva spretli,O,0
paracelska ostrva,P,0
mikronacija,M,0
malteški viteški red,M,0
kneževina seborga,K,0
silend,S,0
kraljevstvo tavolara,K,0
apatin,,1
aranđelovac,A,1
alžir,A,1
andoralavelja,A,1
adelejd,A,1
antverpen,A,1
akra,A,1
atina,A,1
agrinion,A,1
aleksandrupolis,A,1
aleksandrija,A,1
asuan,A,1
asmara,A,1
adisabeba,A,1
aman,A,1
akaba,A,1
aden,A,1
astana,A,1
almati,A,1
amohostos,A,1
akapulko,A,1
abudža,A,1
abidžan,A,1
asunsion,A,1
amadora,A,1
almada,A,1
apija,A,1
alep,A,1
albukerki,A,1
atlanta,A,1
ankara,A,1
